site_id,site_number,name,habitat_type,plant_id,cage,water,taxon_id,taxon_name,order,suborder,superfamily,family,subfamily,genus,species,guild,comment,dry_mass,indiv_count,sum_biomass
SG,1,Stan's Compound Garden,Urban,42,1,LOW,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,1,8.44
SG,1,Stan's Compound Garden,Urban,52,0,MEDIUM,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,1,8.44
SG,1,Stan's Compound Garden,Urban,60,0,LOW,50,Cicadellidae #6,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Euscelis ,na,H,na,9.66949,1,9.66
SG,1,Stan's Compound Garden,Urban,2,0,LOW,51,Cicadellidae #7,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Exitianus,na,H,na,25.49689,1,25.49
SG,1,Stan's Compound Garden,Urban,19,0,HIGH,55,Cicadellidae #9 I,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Homalodisca,Homalodisca lacerata,H,immature,46.42603,1,46.42
SG,1,Stan's Compound Garden,Urban,41,1,LOW,55,Cicadellidae #9 I,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Homalodisca,Homalodisca lacerata,H,immature,46.42603,1,46.42
SG,1,Stan's Compound Garden,Urban,60,0,LOW,79,Curculionidae #1,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,na,na,na,H,na,45.16386,1,45.16
SG,1,Stan's Compound Garden,Urban,45,1,MEDIUM,91,Eulophidae,Hymenoptera,Apocrita,Chalcidoidea,Eulophidae,na,na,na,P,na,2.53681,1,2.53
SG,1,Stan's Compound Garden,Urban,37,0,LOW,118,Lepidoptera I,Lepidoptera,na,na,na,na,na,na,H,immature,52.05458,1,52.05
SG,1,Stan's Compound Garden,Urban,39,0,HIGH,118,Lepidoptera I,Lepidoptera,na,na,na,na,na,na,H,immature,52.05458,1,52.05
SG,1,Stan's Compound Garden,Urban,39,0,HIGH,136,Miridae I,Hemiptera,Heteroptera,na,Miridae,na,na,na,na,immature,172.72759,1,172.72
SG,1,Stan's Compound Garden,Urban,5,1,LOW,138,Miridae #2,Hemiptera,Heteroptera,na,Miridae,Phylinae,Rhinacloa,na,H,na,6.24103,1,6.24
SG,1,Stan's Compound Garden,Urban,24,0,LOW,138,Miridae #2,Hemiptera,Heteroptera,na,Miridae,Phylinae,Rhinacloa,na,H,na,6.24103,1,6.24
SG,1,Stan's Compound Garden,Urban,43,0,MEDIUM,138,Miridae #2,Hemiptera,Heteroptera,na,Miridae,Phylinae,Rhinacloa,na,H,na,6.24103,1,6.24
SG,1,Stan's Compound Garden,Urban,1,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SG,1,Stan's Compound Garden,Urban,2,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,3,1,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,3,325.68
SG,1,Stan's Compound Garden,Urban,4,1,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,7,759.94
SG,1,Stan's Compound Garden,Urban,5,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SG,1,Stan's Compound Garden,Urban,6,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,10,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SG,1,Stan's Compound Garden,Urban,13,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,23,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,24,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SG,1,Stan's Compound Garden,Urban,26,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SG,1,Stan's Compound Garden,Urban,39,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,41,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,42,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,44,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,46,1,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SG,1,Stan's Compound Garden,Urban,52,0,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,55,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,60,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SG,1,Stan's Compound Garden,Urban,37,0,LOW,209,Theridiidae #1,Araneae,na,Araneoidea,Theridiidae,na,Tidarren,na,C,na,3.91198,1,3.91
SG,1,Stan's Compound Garden,Urban,39,0,HIGH,213,Thomisidae,Araneae,na,Thomisoidea,Thomisidae,na,na,na,C,na,na,1,
SG,1,Stan's Compound Garden,Urban,2,0,LOW,214,Thomisidae #1,Araneae,na,Thomisoidea,Thomisidae,na,Misumenops,na,C,na,30.06868,1,30.06
SG,1,Stan's Compound Garden,Urban,19,0,HIGH,221,Tingidae #1 I,Hemiptera,Heteroptera,na,Tingidae,na,na,na,H,immature,5.35212,1,5.35
SG,1,Stan's Compound Garden,Urban,10,0,HIGH,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,5,306.85
SG,1,Stan's Compound Garden,Urban,14,0,MEDIUM,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,3,184.11
SG,1,Stan's Compound Garden,Urban,18,1,MEDIUM,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,2,122.74
SG,1,Stan's Compound Garden,Urban,19,0,HIGH,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,5,306.85
SG,1,Stan's Compound Garden,Urban,24,0,LOW,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,1,61.37
SG,1,Stan's Compound Garden,Urban,25,1,HIGH,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,2,122.74
SG,1,Stan's Compound Garden,Urban,32,1,MEDIUM,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,2,122.74
SG,1,Stan's Compound Garden,Urban,36,1,HIGH,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,1,61.37
SG,1,Stan's Compound Garden,Urban,38,1,LOW,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,3,184.11
SG,1,Stan's Compound Garden,Urban,39,0,HIGH,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,3,184.11
SG,1,Stan's Compound Garden,Urban,46,1,MEDIUM,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,1,61.37
SG,1,Stan's Compound Garden,Urban,7,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,8,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,9,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,11,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,12,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,16,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,17,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,20,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,21,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,22,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,27,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,28,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,29,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,30,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,34,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,35,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,40,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,47,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,48,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,49,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,51,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,53,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,57,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,58,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SG,1,Stan's Compound Garden,Urban,59,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,27,0,MEDIUM,14,Araneidae #2,Araneae,Araneomorphae,Araneoidea,Araneidae,na,Metepeira,na,C,na,77.70989,1,77.7
SM,5,South Mountain,Remnant,26,0,LOW,17,Bethylidae,Hymenoptera,na,Chrysidoidea,Bethylidae,na,na,na,P,na,16.67081,1,16.67
SM,5,South Mountain,Remnant,13,0,LOW,35,Chrysomelidae #1,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,na,Microrhopala,na,H,na,8.30945,1,8.3
SM,5,South Mountain,Remnant,15,0,MEDIUM,35,Chrysomelidae #1,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,na,Microrhopala,na,H,na,8.30945,1,8.3
SM,5,South Mountain,Remnant,35,1,MEDIUM,35,Chrysomelidae #1,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,na,Microrhopala,na,H,na,8.30945,1,8.3
SM,5,South Mountain,Remnant,21,0,HIGH,42,Chrysopidae I,Neuroptera,Hemerobiiformia,Osmyloidea,Chrysopidae,na,na,na,C,immature,34.15847,1,34.15
SM,5,South Mountain,Remnant,4,0,LOW,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,1,8.44
SM,5,South Mountain,Remnant,13,0,LOW,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,1,8.44
SM,5,South Mountain,Remnant,53,0,HIGH,50,Cicadellidae #6,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Euscelis ,na,H,na,9.66949,1,9.66
SM,5,South Mountain,Remnant,9,1,HIGH,61,Cicadellidae #20,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Neokolla,na,H,na,44.81298,1,44.81
SM,5,South Mountain,Remnant,7,1,HIGH,81,Curculionidae #6,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,na,Apion,na,H,na,0.96203,1,0.96
SM,5,South Mountain,Remnant,44,0,HIGH,82,Curculionidae #8,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,na,Anthonomus,na,H,na,19.75652,1,19.75
SM,5,South Mountain,Remnant,53,0,HIGH,83,Delphacidae #1,Hemiptera,Auchenorrhyncha,Fulgoroidea,Delphacidae,na,Stobaera,na,H,na,75.13398,1,75.13
SM,5,South Mountain,Remnant,48,1,MEDIUM,92,Flatidae I,Hemiptera,Auchenorrhyncha,Fulgoroidea,Flatidae,na,na,na,H,immature,23.83224,1,23.83
SM,5,South Mountain,Remnant,44,0,HIGH,153,Nabidae #1,Hemiptera,Heteroptera,na,Nabidae,na,Nabis,na,C,na,1026.83202,1,1026.83
SM,5,South Mountain,Remnant,12,0,HIGH,162,Philodromidae #1,Araneae,na,Thomisoidea,Philodromidae,na,Ebo,na,C,na,28.95348,1,28.95
SM,5,South Mountain,Remnant,7,1,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SM,5,South Mountain,Remnant,8,1,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SM,5,South Mountain,Remnant,11,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SM,5,South Mountain,Remnant,13,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SM,5,South Mountain,Remnant,38,0,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SM,5,South Mountain,Remnant,42,1,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SM,5,South Mountain,Remnant,52,0,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
SM,5,South Mountain,Remnant,60,1,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
SM,5,South Mountain,Remnant,6,0,MEDIUM,188,Salticidae #3,Araneae,na,Salticoidea,Salticidae,na,Metaphidippus,na,C,na,31.03702,1,31.03
SM,5,South Mountain,Remnant,15,0,MEDIUM,188,Salticidae #3,Araneae,na,Salticoidea,Salticidae,na,Metaphidippus,na,C,na,31.03702,1,31.03
SM,5,South Mountain,Remnant,40,1,MEDIUM,188,Salticidae #3,Araneae,na,Salticoidea,Salticidae,na,Metaphidippus,na,C,na,31.03702,1,31.03
SM,5,South Mountain,Remnant,44,0,HIGH,188,Salticidae #3,Araneae,na,Salticoidea,Salticidae,na,Metaphidippus,na,C,na,31.03702,1,31.03
SM,5,South Mountain,Remnant,26,0,LOW,214,Thomisidae #1,Araneae,na,Thomisoidea,Thomisidae,na,Misumenops,na,C,na,30.06868,1,30.06
SM,5,South Mountain,Remnant,43,1,HIGH,214,Thomisidae #1,Araneae,na,Thomisoidea,Thomisidae,na,Misumenops,na,C,na,30.06868,2,60.13
SM,5,South Mountain,Remnant,8,1,MEDIUM,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,4,245.48
SM,5,South Mountain,Remnant,12,0,HIGH,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,1,61.37
SM,5,South Mountain,Remnant,21,0,HIGH,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,na,H,na,5.55993,1,61.37
SM,5,South Mountain,Remnant,1,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,2,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,3,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,5,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,10,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,14,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,16,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,17,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,18,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,19,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,20,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,22,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,23,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,24,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,25,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,28,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,29,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,30,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,31,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,33,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,34,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,36,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,37,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,39,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,41,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,45,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,46,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,47,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,49,0,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,50,0,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,51,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,54,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,55,1,MEDIUM,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,56,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,57,1,LOW,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,58,1,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,59,0,HIGH,227,None,na,na,na,na,na,na,na,na,na,na,0,
SM,5,South Mountain,Remnant,32,0,HIGH,228,Araneida,Araneae,na,na,na,na,na,na,C,na,36.55323,1,36.55
CS,6,Community Services Building,Remnant,36,1,LOW,12,Aphididae,Hemiptera,Homoptera,Aphidoidea,Aphididae,na,na,na,H,na,7.63888,6,45.83
CS,6,Community Services Building,Remnant,37,0,MEDIUM,12,Aphididae,Hemiptera,Homoptera,Aphidoidea,Aphididae,na,na,na,H,na,7.63888,3,22.91
CS,6,Community Services Building,Remnant,7,0,HIGH,20,Bruchidae #1,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Bruchinae,Mimosestes ,na,H,na,49.58245,1,49.58
CS,6,Community Services Building,Remnant,54,0,HIGH,55,Cicadellidae #9 I,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Homalodisca,Homalodisca lacerata,H,immature,46.42603,1,46.42
CS,6,Community Services Building,Remnant,16,0,MEDIUM,84,Dictynidae,Araneae,Araneomorphae,Dictynoidea,Dictynidae,na,Dictyna,na,C,na,20.41618,1,20.41
CS,6,Community Services Building,Remnant,2,0,MEDIUM,118,Lepidoptera I,Lepidoptera,na,na,na,na,na,na,H,immature,52.05458,1,52.05
CS,6,Community Services Building,Remnant,43,0,LOW,162,Philodromidae #1,Araneae,na,Thomisoidea,Philodromidae,na,Ebo,na,C,na,28.95348,1,28.95
CS,6,Community Services Building,Remnant,2,0,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,10,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,11,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,16,0,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,27,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,31,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,32,0,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
CS,6,Community Services Building,Remnant,36,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
CS,6,Community Services Building,Remnant,37,0,MEDIUM,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,43,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,47,1,HIGH,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
CS,6,Community Services Building,Remnant,50,1,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,2,217.12
CS,6,Community Services Building,Remnant,56,0,LOW,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,na,H,na,108.56303,1,108.56
