site_id,site_number,name,habitat_type,plant_id,treatment_id,plant_tag,height,D1,D2,D3,D4,plant_dry_mass,month,field_personnel
CS,6,Community Services Building,Remnant,56,O,CS56O,45,30,30,35,21,77.78,December,EM
CS,6,Community Services Building,Remnant,57,Y,CS57Y,42,31,26,30,26,70.6,December,EM
CS,6,Community Services Building,Remnant,58,O,CS58O,41,30,18,25,22,57.75,December,EM
CS,6,Community Services Building,Remnant,59,G,CS59G,49,20,33,26,25,75.9,December,EM
CS,6,Community Services Building,Remnant,60,G,CS60G,41,29,30,41,39,85.04,December,EM
CS,6,Community Services Building,Remnant,1,R,CS01R,37,20,18,22,27,47.57,January,EM
CS,6,Community Services Building,Remnant,2,G,CS02G,34,13,18,17,29,38.55,January,EM
CS,6,Community Services Building,Remnant,3,O,CS03O,29,11,7,7,10,14.71,January,EM
CS,6,Community Services Building,Remnant,4,R,CS04R,30,20,21,24,27,40.68,January,EM
CS,6,Community Services Building,Remnant,5,P,CS05P,33,22,10,9,20,29.51,January,EM
CS,6,Community Services Building,Remnant,6,O,CS06O,50,30,16,32,28,78.99,January,EM
CS,6,Community Services Building,Remnant,7,P,CS07P,42,21,31,26,27,65.52,January,EM
CS,6,Community Services Building,Remnant,8,Y,CS08Y,35,19,36,18,26,51.27,January,EM
CS,6,Community Services Building,Remnant,9,P,CS09P,39,25,18,24,29,55.47,January,EM
CS,6,Community Services Building,Remnant,10,R,CS10R,31,21,13,24,18,34.63,January,EM
CS,6,Community Services Building,Remnant,11,R,CS11R,37,22,14,29,18,45.35,January,EM
CS,6,Community Services Building,Remnant,12,B,CS12B,22,29,25,18,20,29.68,January,EM
CS,6,Community Services Building,Remnant,13,Y,CS13Y,32,24,33,26,25,51.14,January,EM
CS,6,Community Services Building,Remnant,14,G,CS14G,36,23,21,26,15,45.18,January,EM
CS,6,Community Services Building,Remnant,15,P,CS15P,57,10,10,11,6,30.94,January,EM
CS,6,Community Services Building,Remnant,16,G,CS16G,49,18,23,21,19,58.86,January,EM
CS,6,Community Services Building,Remnant,17,Y,CS17Y,38,41,30,27,25,69.51,January,EM
CS,6,Community Services Building,Remnant,18,R,CS18R,35,19,32,23,21,49.16,January,EM
CS,6,Community Services Building,Remnant,19,P,CS19P,33,29,34,39,27,63.21,January,EM
CS,6,Community Services Building,Remnant,20,P,CS20P,47,19,25,28,20,64.22,January,EM
CS,6,Community Services Building,Remnant,21,B,CS21B,41,18,22,18,21,47.87,January,EM
CS,6,Community Services Building,Remnant,22,G,CS22G,40,18,24,27,25,55.71,January,EM
CS,6,Community Services Building,Remnant,23,Y,CS23Y,50,15,13,19,24,52.55,January,EM
CS,6,Community Services Building,Remnant,24,O,CS24O,31,17,19,21,14,32.32,January,EM
CS,6,Community Services Building,Remnant,25,G,CS25G,33,27,35,28,24,55.74,January,EM
CS,6,Community Services Building,Remnant,26,G,CS26G,31,28,14,23,22,39.74,January,EM
CS,6,Community Services Building,Remnant,27,R,CS27R,26,15,25,21,29,34.39,January,EM
CS,6,Community Services Building,Remnant,28,B,CS28B,38,22,24,26,26,55.17,January,EM
CS,6,Community Services Building,Remnant,29,B,CS29B,37,25,23,25,19,50.35,January,EM
CS,6,Community Services Building,Remnant,30,Y,CS30Y,25,14,14,15,12,20.03,January,EM
CS,6,Community Services Building,Remnant,31,P,CS31P,46,22,15,19,21,52.43,January,EM
CS,6,Community Services Building,Remnant,32,P,CS32P,45,23,19,18,28,58.73,January,EM
CS,6,Community Services Building,Remnant,33,Y,CS33Y,40,12,11,8,10,23.96,January,EM
CS,6,Community Services Building,Remnant,34,B,CS34B,32,27,30,32,33,57.88,January,EM
CS,6,Community Services Building,Remnant,35,G,CS35G,51,30,14,19,29,69.78,January,EM
CS,6,Community Services Building,Remnant,36,R,CS36R,46,13,14,15,15,38.61,January,EM
CS,6,Community Services Building,Remnant,37,G,CS37G,43,31,22,35,31,76.22,January,EM
CS,6,Community Services Building,Remnant,38,R,CS38R,52,24,17,19,15,57.82,January,EM
CS,6,Community Services Building,Remnant,39,O,CS39O,13,5,5,5,5,3.68,January,EM
CS,6,Community Services Building,Remnant,40,B,CS40B,36,18,22,23,24,46.26,January,EM
CS,6,Community Services Building,Remnant,41,Y,CS41Y,32,34,27,28,27,54.99,January,EM
CS,6,Community Services Building,Remnant,42,O,CS42O,49,24,15,27,27,67.74,January,EM
CS,6,Community Services Building,Remnant,43,O,CS43O,50,19,15,16,16,48.79,January,EM
CS,6,Community Services Building,Remnant,44,O,CS44O,66,22,20,35,22,97.73,January,EM
CS,6,Community Services Building,Remnant,45,Y,CS45Y,45,28,20,20,26,62.8,January,EM
CS,6,Community Services Building,Remnant,46,R,CS46R,42,31,19,19,25,58.55,January,EM
CS,6,Community Services Building,Remnant,47,Y,CS47Y,42,20,27,28,17,57.28,January,EM
CS,6,Community Services Building,Remnant,48,B,CS48B,39,27,28,23,30,62.53,January,EM
CS,6,Community Services Building,Remnant,49,B,CS49B,32,9,9,9,9,16.73,January,EM
CS,6,Community Services Building,Remnant,50,R,CS50R,48,20,15,15,15,46.08,January,EM
CS,6,Community Services Building,Remnant,51,B,CS51B,46,31,20,25,26,69.78,January,EM
CS,6,Community Services Building,Remnant,52,P,CS52P,45,25,19,22,23,59.41,January,EM
CS,6,Community Services Building,Remnant,53,O,CS53O,58,23,11,18,20,61.99,January,EM
CS,6,Community Services Building,Remnant,54,P,CS54P,46,25,30,28,32,78.84,January,EM
CS,6,Community Services Building,Remnant,55,B,CS55B,40,30,33,32,29,73.84,January,EM
CS,6,Community Services Building,Remnant,56,O,CS56O,48,31,19,33,21,74.32,January,EM
CS,6,Community Services Building,Remnant,57,Y,CS57Y,41,28,30,37,19,69.51,January,EM
CS,6,Community Services Building,Remnant,58,O,CS58O,38,25,32,29,19,59.18,January,EM
CS,6,Community Services Building,Remnant,59,G,CS59G,41,22,25,26,23,58.37,January,EM
CS,6,Community Services Building,Remnant,60,G,CS60G,47,29,29,34,30,85.57,January,EM
CS,6,Community Services Building,Remnant,1,R,CS01R,39,25,24,17,20,49.6,February,CB
CS,6,Community Services Building,Remnant,2,G,CS02G,37,30,11,23,19,45.35,February,CB
CS,6,Community Services Building,Remnant,3,O,CS03O,29,11,7,7,10,14.71,February,CB
CS,6,Community Services Building,Remnant,4,R,CS04R,36,31,23,22,17,49.51,February,CB
CS,6,Community Services Building,Remnant,5,P,CS05P,36,35,16,34,19,55.47,February,CB
CS,6,Community Services Building,Remnant,6,O,CS06O,58,37,27,17,19,86.58,February,CB
CS,6,Community Services Building,Remnant,7,P,CS07P,60,39,27,34,33,119.76,February,CB
CS,6,Community Services Building,Remnant,8,Y,CS08Y,40,36,18,22,24,59.33,February,CB
CS,6,Community Services Building,Remnant,9,P,CS09P,40,33,23,28,25,64.77,February,CB
CS,6,Community Services Building,Remnant,10,R,CS10R,37,33,18,20,21,50.35,February,CB
CS,6,Community Services Building,Remnant,11,R,CS11R,49,40,28,14,22,75.9,February,CB
CS,6,Community Services Building,Remnant,12,B,CS12B,27,29,23,22,19,36.95,February,CB
CS,6,Community Services Building,Remnant,13,Y,CS13Y,38,39,26,19,21,59.18,February,CB
CS,6,Community Services Building,Remnant,14,G,CS14G,35,19,24,10,14,34.47,February,CB
CS,6,Community Services Building,Remnant,15,P,CS15P,57,10,10,11,6,30.94,February,CB
CS,6,Community Services Building,Remnant,16,G,CS16G,48,29,22,17,21,63.44,February,CB
CS,6,Community Services Building,Remnant,17,Y,CS17Y,51,37,32,24,31,94.54,February,CB
CS,6,Community Services Building,Remnant,18,R,CS18R,42,33,22,28,25,67.43,February,CB
CS,6,Community Services Building,Remnant,19,P,CS19P,47,49,38,45,40,121.35,February,CB
CS,6,Community Services Building,Remnant,20,P,CS20P,49,43,28,39,41,110.9,February,CB
CS,6,Community Services Building,Remnant,21,B,CS21B,49,32,22,22,24,72.93,February,CB
CS,6,Community Services Building,Remnant,22,G,CS22G,43,28,12,21,20,51.54,February,CB
CS,6,Community Services Building,Remnant,23,Y,CS23Y,62,33,17,22,20,85.12,February,CB
CS,6,Community Services Building,Remnant,24,O,CS24O,31,20,14,16,13,28.62,February,CB
CS,6,Community Services Building,Remnant,25,G,CS25G,40,41,28,25,27,72.02,February,CB
CS,6,Community Services Building,Remnant,26,G,CS26G,38,33,23,28,14,55.17,February,CB
CS,6,Community Services Building,Remnant,27,R,CS27R,31,34,18,26,18,43.92,February,CB
CS,6,Community Services Building,Remnant,28,B,CS28B,40,21,13,20,13,39.48,February,CB
CS,6,Community Services Building,Remnant,29,B,CS29B,35,26,18,22,24,46.53,February,CB
CS,6,Community Services Building,Remnant,30,Y,CS30Y,25,14,14,15,12,20.03,February,CB
CS,6,Community Services Building,Remnant,31,P,CS31P,47,21,16,11,13,42.29,February,CB
CS,6,Community Services Building,Remnant,32,P,CS32P,49,35,40,18,20,82.58,February,CB
CS,6,Community Services Building,Remnant,33,Y,CS33Y,49,30,13,10,10,45.59,February,CB
CS,6,Community Services Building,Remnant,34,B,CS34B,34,34,30,27,22,56.95,February,CB
CS,6,Community Services Building,Remnant,35,G,CS35G,48,46,24,30,30,93.26,February,CB
CS,6,Community Services Building,Remnant,36,R,CS36R,57,33,16,5,5,49.74,February,CB
CS,6,Community Services Building,Remnant,37,G,CS37G,41,34,22,33,37,76.96,February,CB
CS,6,Community Services Building,Remnant,38,R,CS38R,53,21,12,10,8,39.83,February,CB
CS,6,Community Services Building,Remnant,39,O,CS39O,13,5,5,5,5,3.68,February,CB
CS,6,Community Services Building,Remnant,40,B,CS40B,47,33,16,19,27,66.35,February,CB
CS,6,Community Services Building,Remnant,41,Y,CS41Y,48,35,41,25,30,93.99,February,CB
CS,6,Community Services Building,Remnant,42,O,CS42O,56,34,21,18,11,69.97,February,CB
CS,6,Community Services Building,Remnant,43,O,CS43O,54,27,15,24,22,70.69,February,CB
CS,6,Community Services Building,Remnant,44,O,CS44O,81,57,27,33,21,168.72,February,CB
CS,6,Community Services Building,Remnant,45,Y,CS45Y,52,36,32,21,23,86.94,February,CB
CS,6,Community Services Building,Remnant,46,R,CS46R,54,35,22,23,14,75.6,February,CB
CS,6,Community Services Building,Remnant,47,Y,CS47Y,54,28,20,22,20,72.33,February,CB
CS,6,Community Services Building,Remnant,48,B,CS48B,47,27,29,19,16,63.51,February,CB
CS,6,Community Services Building,Remnant,49,B,CS49B,32,9,9,9,9,16.73,February,CB
CS,6,Community Services Building,Remnant,50,R,CS50R,48,20,15,15,15,46.08,February,CB
CS,6,Community Services Building,Remnant,51,B,CS51B,50,34,28,21,21,77.48,February,CB
CS,6,Community Services Building,Remnant,52,P,CS52P,48,28,14,27,25,67.06,February,CB
CS,6,Community Services Building,Remnant,53,O,CS53O,59,26,16,13,9,55.95,February,CB
CS,6,Community Services Building,Remnant,54,P,CS54P,54,39,30,28,27,100.19,February,CB
CS,6,Community Services Building,Remnant,55,B,CS55B,44,41,30,24,30,82.02,February,CB
CS,6,Community Services Building,Remnant,56,O,CS56O,54,38,22,16,37,91.16,February,CB
CS,6,Community Services Building,Remnant,57,Y,CS57Y,51,50,26,27,24,96.86,February,CB
CS,6,Community Services Building,Remnant,58,O,CS58O,40,31,30,20,22,61.14,February,CB
CS,6,Community Services Building,Remnant,59,G,CS59G,46,33,26,17,28,71.18,February,CB
CS,6,Community Services Building,Remnant,60,G,CS60G,51,33,18,38,27,88.34,February,CB
CS,6,Community Services Building,Remnant,1,R,CS01R,42,21,24,18,27,56.01,March,CB
CS,6,Community Services Building,Remnant,2,G,CS02G,40,32,13,30,16,53.91,March,CB
CS,6,Community Services Building,Remnant,3,O,CS03O,40,35,17,28,21,59.93,March,CB
CS,6,Community Services Building,Remnant,4,R,CS04R,49,39,29,22,24,83.33,March,CB
CS,6,Community Services Building,Remnant,5,P,CS05P,37,42,21,34,27,68.21,March,CB
CS,6,Community Services Building,Remnant,6,O,CS06O,63,46,51,13,21,123.93,March,CB
CS,6,Community Services Building,Remnant,7,P,CS07P,61,63,32,40,41,161.94,March,CB
CS,6,Community Services Building,Remnant,8,Y,CS08Y,44,44,22,22,30,77.35,March,CB
CS,6,Community Services Building,Remnant,9,P,CS09P,48,39,24,31,22,83.05,March,CB
CS,6,Community Services Building,Remnant,10,R,CS10R,43,44,23,41,33,90.57,March,CB
CS,6,Community Services Building,Remnant,11,R,CS11R,54,45,35,22,31,107.59,March,CB
CS,6,Community Services Building,Remnant,12,B,CS12B,30,30,24,26,19,43.83,March,CB
CS,6,Community Services Building,Remnant,13,Y,CS13Y,40,44,30,41,28,85.36,March,CB
CS,6,Community Services Building,Remnant,14,G,CS14G,34,21,19,7,12,29.41,March,CB
CS,6,Community Services Building,Remnant,15,P,CS15P,37,37,29,19,29,62.62,March,CB
CS,6,Community Services Building,Remnant,16,G,CS16G,50,26,21,15,14,56.32,March,CB
CS,6,Community Services Building,Remnant,17,Y,CS17Y,56,47,30,40,35,127.89,March,CB
CS,6,Community Services Building,Remnant,18,R,CS18R,44,37,24,22,25,70.69,March,CB
CS,6,Community Services Building,Remnant,19,P,CS19P,56,63,45,45,39,162.18,March,CB
CS,6,Community Services Building,Remnant,20,P,CS20P,45,62,43,37,35,119.53,March,CB
CS,6,Community Services Building,Remnant,21,B,CS21B,38,34,25,33,21,63.77,March,CB
CS,6,Community Services Building,Remnant,22,G,CS22G,47,26,9,21,14,48.64,March,CB
CS,6,Community Services Building,Remnant,23,Y,CS23Y,60,35,21,31,25,100.56,March,CB
CS,6,Community Services Building,Remnant,24,O,CS24O,30,22,23,17,22,37.09,March,CB
CS,6,Community Services Building,Remnant,25,G,CS25G,54,48,31,29,32,113.35,March,CB
CS,6,Community Services Building,Remnant,26,G,CS26G,41,40,17,32,38,77.58,March,CB
CS,6,Community Services Building,Remnant,27,R,CS27R,29,26,10,19,18,31.06,March,CB
CS,6,Community Services Building,Remnant,28,B,CS28B,45,25,27,14,21,58.05,March,CB
CS,6,Community Services Building,Remnant,29,B,CS29B,39,36,19,28,30,65.48,March,CB
CS,6,Community Services Building,Remnant,30,Y,CS30Y,26,36,24,27,28,44.13,March,CB
CS,6,Community Services Building,Remnant,31,P,CS31P,47,27,19,23,20,62.09,March,CB
CS,6,Community Services Building,Remnant,32,P,CS32P,54,32,42,21,34,104.3,March,CB
CS,6,Community Services Building,Remnant,33,Y,CS33Y,53,32,2,17,17,53.36,March,CB
CS,6,Community Services Building,Remnant,34,B,CS34B,36,41,32,23,25,64.71,March,CB
CS,6,Community Services Building,Remnant,35,G,CS35G,52,40,23,31,25,92.47,March,CB
CS,6,Community Services Building,Remnant,36,R,CS36R,60,34,10,21,5,62.35,March,CB
CS,6,Community Services Building,Remnant,37,G,CS37G,45,36,31,27,28,81.87,March,CB
CS,6,Community Services Building,Remnant,38,R,CS38R,61,25,15,18,22,72.63,March,CB
CS,6,Community Services Building,Remnant,39,O,CS39O,38,32,26,27,24,61.47,March,CB
CS,6,Community Services Building,Remnant,40,B,CS40B,57,32,17,22,17,74.69,March,CB
CS,6,Community Services Building,Remnant,41,Y,CS41Y,51,38,40,37,33,113.17,March,CB
CS,6,Community Services Building,Remnant,42,O,CS42O,61,28,36,24,20,98.55,March,CB
CS,6,Community Services Building,Remnant,43,O,CS43O,56,32,18,26,20,80.14,March,CB
CS,6,Community Services Building,Remnant,44,O,CS44O,62,67,89,60,46,246.74,March,CB
CS,6,Community Services Building,Remnant,45,Y,CS45Y,64,42,38,21,24,120.07,March,CB
CS,6,Community Services Building,Remnant,46,R,CS46R,57,45,18,21,18,86.79,March,CB
CS,6,Community Services Building,Remnant,47,Y,CS47Y,67,38,26,24,19,107.4,March,CB
CS,6,Community Services Building,Remnant,48,B,CS48B,46,31,17,20,22,61.44,March,CB
CS,6,Community Services Building,Remnant,49,B,CS49B,48,48,37,31,38,110.79,March,CB
CS,6,Community Services Building,Remnant,50,R,CS50R,34,39,29,30,30,64.65,March,CB
CS,6,Community Services Building,Remnant,51,B,CS51B,51,32,24,20,18,71.33,March,CB
CS,6,Community Services Building,Remnant,52,P,CS52P,58,26,20,26,24,83.05,March,CB
CS,6,Community Services Building,Remnant,53,O,CS53O,62,30,19,9,9,61.66,March,CB
CS,6,Community Services Building,Remnant,54,P,CS54P,60,44,24,31,27,113.35,March,CB
CS,6,Community Services Building,Remnant,55,B,CS55B,44,39,21,21,28,71.36,March,CB
CS,6,Community Services Building,Remnant,56,O,CS56O,48,38,20,21,24,73.6,March,CB
CS,6,Community Services Building,Remnant,57,Y,CS57Y,54,53,29,40,34,126.54,March,CB
CS,6,Community Services Building,Remnant,58,O,CS58O,49,28,20,20,23,66.26,March,CB
CS,6,Community Services Building,Remnant,59,G,CS59G,46,44,24,32,26,86.51,March,CB
CS,6,Community Services Building,Remnant,60,G,CS60G,49,46,20,34,30,95.23,March,CB
CS,6,Community Services Building,Remnant,1,R,CS01R,40,30,24,23,25,60.54,April,CB
CS,6,Community Services Building,Remnant,2,G,CS02G,41,36,17,32,20,63.94,April,CB
CS,6,Community Services Building,Remnant,3,O,CS03O,44,41,21,24,24,72.02,April,CB
CS,6,Community Services Building,Remnant,4,R,CS04R,42,36,24,33,24,73.14,April,CB
CS,6,Community Services Building,Remnant,5,P,CS05P,32,41,30,37,36,68.51,April,CB
CS,6,Community Services Building,Remnant,6,O,CS06O,68,57,45,31,21,157.89,April,CB
CS,6,Community Services Building,Remnant,7,P,CS07P,64,45,31,40,42,152.37,April,CB
CS,6,Community Services Building,Remnant,8,Y,CS08Y,46,43,23,23,31,82.33,April,CB
CS,6,Community Services Building,Remnant,9,P,CS09P,44,36,24,25,37,80.02,April,CB
CS,6,Community Services Building,Remnant,10,R,CS10R,50,44,28,41,30,107.11,April,CB
CS,6,Community Services Building,Remnant,11,R,CS11R,52,43,38,32,36,116.22,April,CB
CS,6,Community Services Building,Remnant,12,B,CS12B,31,31,25,28,19,47.18,April,CB
CS,6,Community Services Building,Remnant,13,Y,CS13Y,44,43,26,36,30,88.7,April,CB
CS,6,Community Services Building,Remnant,14,G,CS14G,32,25,16,14,14,32.42,April,CB
CS,6,Community Services Building,Remnant,15,P,CS15P,38,37,23,34,36,73.54,April,CB
CS,6,Community Services Building,Remnant,16,G,CS16G,59,27,24,18,17,75.57,April,CB
CS,6,Community Services Building,Remnant,17,Y,CS17Y,58,47,32,39,38,136.08,April,CB
CS,6,Community Services Building,Remnant,18,R,CS18R,49,37,25,25,23,80.36,April,CB
CS,6,Community Services Building,Remnant,19,P,CS19P,50,57,44,46,44,143.76,April,CB
CS,6,Community Services Building,Remnant,20,P,CS20P,44,45,53,31,34,107.44,April,CB
CS,6,Community Services Building,Remnant,21,B,CS21B,45,25,30,34,23,75.05,April,CB
CS,6,Community Services Building,Remnant,22,G,CS22G,44,23,21,11,13,44.16,April,CB
CS,6,Community Services Building,Remnant,23,Y,CS23Y,64,34,15,23,22,89.86,April,CB
CS,6,Community Services Building,Remnant,24,O,CS24O,27,29,22,18,15,33.32,April,CB
CS,6,Community Services Building,Remnant,25,G,CS25G,45,47,23,44,31,97.59,April,CB
CS,6,Community Services Building,Remnant,26,G,CS26G,49,35,22,25,30,81.84,April,CB
CS,6,Community Services Building,Remnant,27,R,CS27R,31,28,14,21,14,35.1,April,CB
CS,6,Community Services Building,Remnant,28,B,CS28B,43,26,18,23,20,55.43,April,CB
CS,6,Community Services Building,Remnant,29,B,CS29B,40,32,21,29,37,70.81,April,CB
CS,6,Community Services Building,Remnant,30,Y,CS30Y,31,40,25,36,31,60.72,April,CB
CS,6,Community Services Building,Remnant,31,P,CS31P,47,32,24,25,25,74.17,April,CB
CS,6,Community Services Building,Remnant,32,P,CS32P,53,42,38,34,35,118.5,April,CB
CS,6,Community Services Building,Remnant,33,Y,CS33Y,55,34,14,18,18,68.7,April,CB
CS,6,Community Services Building,Remnant,34,B,CS34B,39,41,29,40,33,83.19,April,CB
CS,6,Community Services Building,Remnant,35,G,CS35G,49,49,35,28,33,106.42,April,CB
CS,6,Community Services Building,Remnant,36,R,CS36R,62,35,10,8,9,56.98,April,CB
CS,6,Community Services Building,Remnant,37,G,CS37G,46,34,23,29,34,82.33,April,CB
CS,6,Community Services Building,Remnant,38,R,CS38R,58,23,17,22,25,75.14,April,CB
CS,6,Community Services Building,Remnant,39,O,CS39O,45,33,29,27,23,75.05,April,CB
CS,6,Community Services Building,Remnant,40,B,CS40B,52,31,14,24,14,64.1,April,CB
CS,6,Community Services Building,Remnant,41,Y,CS41Y,51,44,35,38,34,115.51,April,CB
CS,6,Community Services Building,Remnant,42,O,CS42O,56,26,24,35,17,85.24,April,CB
CS,6,Community Services Building,Remnant,43,O,CS43O,55,30,12,24,21,71.19,April,CB
CS,6,Community Services Building,Remnant,44,O,CS44O,63,93,67,46,22,217.73,April,CB
CS,6,Community Services Building,Remnant,45,Y,CS45Y,64,41,45,23,24,127.89,April,CB
CS,6,Community Services Building,Remnant,46,R,CS46R,61,39,23,17,24,93.91,April,CB
CS,6,Community Services Building,Remnant,47,Y,CS47Y,63,28,37,28,19,105.67,April,CB
CS,6,Community Services Building,Remnant,48,B,CS48B,44,32,20,21,25,64.04,April,CB
CS,6,Community Services Building,Remnant,49,B,CS49B,62,49,32,30,52,152.28,April,CB
CS,6,Community Services Building,Remnant,50,R,CS50R,36,0,36,33,31,53.3,April,CB
CS,6,Community Services Building,Remnant,51,B,CS51B,53,35,22,27,22,83.81,April,CB
CS,6,Community Services Building,Remnant,52,P,CS52P,55,30,24,31,29,93.71,April,CB
CS,6,Community Services Building,Remnant,53,O,CS53O,63,31,21,25,14,85.56,April,CB
CS,6,Community Services Building,Remnant,54,P,CS54P,63,41,30,31,17,112.39,April,CB
CS,6,Community Services Building,Remnant,55,B,CS55B,50,38,29,31,23,90.37,April,CB
CS,6,Community Services Building,Remnant,56,O,CS56O,57,51,28,17,34,111.07,April,CB
CS,6,Community Services Building,Remnant,57,Y,CS57Y,57,56,28,37,28,127.6,April,CB
CS,6,Community Services Building,Remnant,58,O,CS58O,48,35,15,23,22,67.79,April,CB
CS,6,Community Services Building,Remnant,59,G,CS59G,52,48,25,42,42,122.57,April,CB
CS,6,Community Services Building,Remnant,60,G,CS60G,53,40,44,40,26,119.3,April,CB
CS,6,Community Services Building,Remnant,1,R,CS01R,35,16,21,25,19,41.81,May,EM
CS,6,Community Services Building,Remnant,2,G,CS02G,35,34,20,31,16,52.32,May,EM
CS,6,Community Services Building,Remnant,3,O,CS03O,47,23,30,20,26,69.19,May,EM
CS,6,Community Services Building,Remnant,4,R,CS04R,32,25,23,31,32,52.58,May,EM
CS,6,Community Services Building,Remnant,5,P,CS05P,34,31,37,32,33,67.21,May,EM
CS,6,Community Services Building,Remnant,6,O,CS06O,56,29,26,36,40,109.94,May,EM
